zipcode,zone,range,zone_general,range_general
83464,4B,-25 to -20,4,-30 to -20
83465,5A,-20 to -15,5,-20 to -10
83466,5B,-15 to -10,5,-20 to -10
83467,5A,-20 to -15,5,-20 to -10
83468,5A,-20 to -15,5,-20 to -10
83469,5B,-15 to -10,5,-20 to -10
83501,7B,5 to 10,7,0 to 10
83520,7A,0 to 5,7,0 to 10
83522,6B,-5 to 0,6,-10 to 0
83523,6A,-10 to -5,6,-10 to 0
83524,7A,0 to 5,7,0 to 10
83525,4B,-25 to -20,4,-30 to -20
83526,6A,-10 to -5,6,-10 to 0
83530,6B,-5 to 0,6,-10 to 0
83531,6B,-5 to 0,6,-10 to 0
83533,6A,-10 to -5,6,-10 to 0
83535,7A,0 to 5,7,0 to 10
83536,7A,0 to 5,7,0 to 10
83537,6B,-5 to 0,6,-10 to 0
83539,6B,-5 to 0,6,-10 to 0
83540,7B,5 to 10,7,0 to 10
83541,6B,-5 to 0,6,-10 to 0
83542,7B,5 to 10,7,0 to 10
83543,6A,-10 to -5,6,-10 to 0
83544,7A,0 to 5,7,0 to 10
83545,7A,0 to 5,7,0 to 10
83546,5B,-15 to -10,5,-20 to -10
83547,7A,0 to 5,7,0 to 10
83548,6A,-10 to -5,6,-10 to 0
83549,7B,5 to 10,7,0 to 10
83552,6B,-5 to 0,6,-10 to 0
83553,6A,-10 to -5,6,-10 to 0
83554,7B,5 to 10,7,0 to 10
83555,6A,-10 to -5,6,-10 to 0
83602,6B,-5 to 0,6,-10 to 0
83604,7A,0 to 5,7,0 to 10
83605,6B,-5 to 0,6,-10 to 0
83606,6B,-5 to 0,6,-10 to 0
83607,6B,-5 to 0,6,-10 to 0
83610,5B,-15 to -10,5,-20 to -10
83611,5A,-20 to -15,5,-20 to -10
83612,5B,-15 to -10,5,-20 to -10
83615,5A,-20 to -15,5,-20 to -10
83616,7A,0 to 5,7,0 to 10
83617,7A,0 to 5,7,0 to 10
83619,6B,-5 to 0,6,-10 to 0
83622,6A,-10 to -5,6,-10 to 0
83623,6B,-5 to 0,6,-10 to 0
83624,6B,-5 to 0,6,-10 to 0
83626,7A,0 to 5,7,0 to 10
83627,7A,0 to 5,7,0 to 10
83628,6B,-5 to 0,6,-10 to 0
83629,6B,-5 to 0,6,-10 to 0
83630,7A,0 to 5,7,0 to 10
83631,6A,-10 to -5,6,-10 to 0
83632,5B,-15 to -10,5,-20 to -10
83633,6B,-5 to 0,6,-10 to 0
83634,6B,-5 to 0,6,-10 to 0
83635,5A,-20 to -15,5,-20 to -10
83636,6B,-5 to 0,6,-10 to 0
83637,6A,-10 to -5,6,-10 to 0
83638,5A,-20 to -15,5,-20 to -10
83639,7A,0 to 5,7,0 to 10
83641,7A,0 to 5,7,0 to 10
83642,7A,0 to 5,7,0 to 10
83643,6A,-10 to -5,6,-10 to 0
83644,7A,0 to 5,7,0 to 10
83645,6A,-10 to -5,6,-10 to 0
83646,7A,0 to 5,7,0 to 10
83647,6B,-5 to 0,6,-10 to 0
83648,6B,-5 to 0,6,-10 to 0
83650,6B,-5 to 0,6,-10 to 0
83651,7A,0 to 5,7,0 to 10
83652,7A,0 to 5,7,0 to 10
83653,7A,0 to 5,7,0 to 10
83654,5A,-20 to -15,5,-20 to -10
83655,6B,-5 to 0,6,-10 to 0
83656,6B,-5 to 0,6,-10 to 0
83657,6A,-10 to -5,6,-10 to 0
83660,6B,-5 to 0,6,-10 to 0
83661,6B,-5 to 0,6,-10 to 0
83666,6A,-10 to -5,6,-10 to 0
83669,7A,0 to 5,7,0 to 10
83670,6B,-5 to 0,6,-10 to 0
83671,4B,-25 to -20,4,-30 to -20
83672,6B,-5 to 0,6,-10 to 0
83676,6B,-5 to 0,6,-10 to 0
83677,4B,-25 to -20,4,-30 to -20
83680,7A,0 to 5,7,0 to 10
83686,7A,0 to 5,7,0 to 10
83687,7A,0 to 5,7,0 to 10
83701,7A,0 to 5,7,0 to 10
83702,7A,0 to 5,7,0 to 10
83703,7A,0 to 5,7,0 to 10
83704,7A,0 to 5,7,0 to 10
83705,7A,0 to 5,7,0 to 10
83706,7A,0 to 5,7,0 to 10
83707,6B,-5 to 0,6,-10 to 0
83708,7A,0 to 5,7,0 to 10
83709,6B,-5 to 0,6,-10 to 0
83711,7A,0 to 5,7,0 to 10
83712,7A,0 to 5,7,0 to 10
83713,7A,0 to 5,7,0 to 10
83714,7A,0 to 5,7,0 to 10
83715,7A,0 to 5,7,0 to 10
83716,7A,0 to 5,7,0 to 10
83717,7A,0 to 5,7,0 to 10
83719,7A,0 to 5,7,0 to 10
83720,7A,0 to 5,7,0 to 10
83722,7A,0 to 5,7,0 to 10
83724,7A,0 to 5,7,0 to 10
83725,7A,0 to 5,7,0 to 10
83726,7A,0 to 5,7,0 to 10
83728,7A,0 to 5,7,0 to 10
83729,7A,0 to 5,7,0 to 10
83731,7A,0 to 5,7,0 to 10
83732,7A,0 to 5,7,0 to 10
83735,7A,0 to 5,7,0 to 10
83756,7A,0 to 5,7,0 to 10
83799,7A,0 to 5,7,0 to 10
83801,6B,-5 to 0,6,-10 to 0
83802,6A,-10 to -5,6,-10 to 0
83803,6B,-5 to 0,6,-10 to 0
83804,6A,-10 to -5,6,-10 to 0
83805,6A,-10 to -5,6,-10 to 0
83806,6A,-10 to -5,6,-10 to 0
83808,6A,-10 to -5,6,-10 to 0
83809,6A,-10 to -5,6,-10 to 0
83810,6B,-5 to 0,6,-10 to 0
83811,6A,-10 to -5,6,-10 to 0
83812,6A,-10 to -5,6,-10 to 0
83813,6A,-10 to -5,6,-10 to 0
83814,7A,0 to 5,7,0 to 10
83815,6B,-5 to 0,6,-10 to 0
83816,7A,0 to 5,7,0 to 10
83821,6A,-10 to -5,6,-10 to 0
83822,6A,-10 to -5,6,-10 to 0
83823,6A,-10 to -5,6,-10 to 0
83824,6A,-10 to -5,6,-10 to 0
83825,6A,-10 to -5,6,-10 to 0
83826,5B,-15 to -10,5,-20 to -10
83827,6A,-10 to -5,6,-10 to 0
83830,6A,-10 to -5,6,-10 to 0
83832,6B,-5 to 0,6,-10 to 0
83833,6A,-10 to -5,6,-10 to 0
83834,6A,-10 to -5,6,-10 to 0
83835,6B,-5 to 0,6,-10 to 0
83836,6B,-5 to 0,6,-10 to 0
83837,6B,-5 to 0,6,-10 to 0
83839,6B,-5 to 0,6,-10 to 0
83840,6A,-10 to -5,6,-10 to 0
83841,6A,-10 to -5,6,-10 to 0
83842,6B,-5 to 0,6,-10 to 0
83843,6A,-10 to -5,6,-10 to 0
83844,6B,-5 to 0,6,-10 to 0
83845,6A,-10 to -5,6,-10 to 0
83846,6A,-10 to -5,6,-10 to 0
83847,6A,-10 to -5,6,-10 to 0
83848,6A,-10 to -5,6,-10 to 0
83849,6B,-5 to 0,6,-10 to 0
83850,6B,-5 to 0,6,-10 to 0
83851,6B,-5 to 0,6,-10 to 0
83852,6B,-5 to 0,6,-10 to 0
83853,6A,-10 to -5,6,-10 to 0
83854,6B,-5 to 0,6,-10 to 0
83855,6A,-10 to -5,6,-10 to 0
83856,6A,-10 to -5,6,-10 to 0
83857,6A,-10 to -5,6,-10 to 0
83858,6B,-5 to 0,6,-10 to 0
83860,6B,-5 to 0,6,-10 to 0
83861,6A,-10 to -5,6,-10 to 0
83864,6A,-10 to -5,6,-10 to 0
83865,6A,-10 to -5,6,-10 to 0
83866,6A,-10 to -5,6,-10 to 0
83867,6A,-10 to -5,6,-10 to 0
83868,6B,-5 to 0,6,-10 to 0
83869,6A,-10 to -5,6,-10 to 0
83870,6A,-10 to -5,6,-10 to 0
83871,6A,-10 to -5,6,-10 to 0
83872,6A,-10 to -5,6,-10 to 0
83873,6A,-10 to -5,6,-10 to 0
83874,6A,-10 to -5,6,-10 to 0
83876,6B,-5 to 0,6,-10 to 0
83877,6B,-5 to 0,6,-10 to 0
84001,5B,-15 to -10,5,-20 to -10
84002,5B,-15 to -10,5,-20 to -10
84003,7A,0 to 5,7,0 to 10
84004,7A,0 to 5,7,0 to 10
84005,7A,0 to 5,7,0 to 10
84006,7A,0 to 5,7,0 to 10
84007,5B,-15 to -10,5,-20 to -10
84008,5B,-15 to -10,5,-20 to -10
84009,7A,0 to 5,7,0 to 10
84010,7A,0 to 5,7,0 to 10
84011,7A,0 to 5,7,0 to 10
84013,6A,-10 to -5,6,-10 to 0
84014,7A,0 to 5,7,0 to 10
84015,7A,0 to 5,7,0 to 10
84016,7A,0 to 5,7,0 to 10
84017,5B,-15 to -10,5,-20 to -10
84018,5B,-15 to -10,5,-20 to -10
84020,7A,0 to 5,7,0 to 10
84021,5B,-15 to -10,5,-20 to -10
84022,6A,-10 to -5,6,-10 to 0
84023,5B,-15 to -10,5,-20 to -10
84024,5A,-20 to -15,5,-20 to -10
84025,7A,0 to 5,7,0 to 10
84026,5B,-15 to -10,5,-20 to -10
84027,5B,-15 to -10,5,-20 to -10
84028,5A,-20 to -15,5,-20 to -10
84029,7A,0 to 5,7,0 to 10
84031,5B,-15 to -10,5,-20 to -10
84032,5B,-15 to -10,5,-20 to -10
84033,5A,-20 to -15,5,-20 to -10
84034,5B,-15 to -10,5,-20 to -10
84035,5A,-20 to -15,5,-20 to -10
84036,5B,-15 to -10,5,-20 to -10
84037,7A,0 to 5,7,0 to 10
84038,5A,-20 to -15,5,-20 to -10
84039,5B,-15 to -10,5,-20 to -10
84040,7A,0 to 5,7,0 to 10
84041,7A,0 to 5,7,0 to 10
84042,7A,0 to 5,7,0 to 10
84043,6B,-5 to 0,6,-10 to 0
84044,7A,0 to 5,7,0 to 10
84045,6B,-5 to 0,6,-10 to 0
84046,5B,-15 to -10,5,-20 to -10
84047,7A,0 to 5,7,0 to 10
84049,5B,-15 to -10,5,-20 to -10
84050,5B,-15 to -10,5,-20 to -10
84051,5B,-15 to -10,5,-20 to -10
84052,5B,-15 to -10,5,-20 to -10
84053,5B,-15 to -10,5,-20 to -10
84054,7B,5 to 10,7,0 to 10
84055,5B,-15 to -10,5,-20 to -10
84056,7A,0 to 5,7,0 to 10
84057,7A,0 to 5,7,0 to 10
84058,7A,0 to 5,7,0 to 10
84059,7A,0 to 5,7,0 to 10
84060,5B,-15 to -10,5,-20 to -10
84061,5B,-15 to -10,5,-20 to -10
84062,7A,0 to 5,7,0 to 10
84063,5A,-20 to -15,5,-20 to -10
84064,4A,-30 to -25,4,-30 to -20
84065,7A,0 to 5,7,0 to 10
84066,5A,-20 to -15,5,-20 to -10
84067,7A,0 to 5,7,0 to 10
84068,5B,-15 to -10,5,-20 to -10
84069,6A,-10 to -5,6,-10 to 0
84070,7A,0 to 5,7,0 to 10
84071,6A,-10 to -5,6,-10 to 0
84072,5B,-15 to -10,5,-20 to -10
84073,5B,-15 to -10,5,-20 to -10
84074,7A,0 to 5,7,0 to 10
84075,7A,0 to 5,7,0 to 10
84076,5B,-15 to -10,5,-20 to -10
84078,5B,-15 to -10,5,-20 to -10
84079,5B,-15 to -10,5,-20 to -10
84080,6A,-10 to -5,6,-10 to 0
84081,7A,0 to 5,7,0 to 10
84082,5B,-15 to -10,5,-20 to -10
84083,7A,0 to 5,7,0 to 10
84084,7A,0 to 5,7,0 to 10
84085,5B,-15 to -10,5,-20 to -10
84086,4A,-30 to -25,4,-30 to -20
84087,7B,5 to 10,7,0 to 10
84088,7A,0 to 5,7,0 to 10
84089,7A,0 to 5,7,0 to 10
84090,7A,0 to 5,7,0 to 10
84091,7A,0 to 5,7,0 to 10
84092,7A,0 to 5,7,0 to 10
84093,7A,0 to 5,7,0 to 10
84094,7A,0 to 5,7,0 to 10
84095,7A,0 to 5,7,0 to 10
84096,7A,0 to 5,7,0 to 10
84097,7A,0 to 5,7,0 to 10
84098,5A,-20 to -15,5,-20 to -10
84101,7B,5 to 10,7,0 to 10
84102,7B,5 to 10,7,0 to 10
84103,7A,0 to 5,7,0 to 10
84104,7B,5 to 10,7,0 to 10
84105,7B,5 to 10,7,0 to 10
84106,7A,0 to 5,7,0 to 10
84107,7A,0 to 5,7,0 to 10
84108,7A,0 to 5,7,0 to 10
84109,7A,0 to 5,7,0 to 10
84110,7B,5 to 10,7,0 to 10
84111,7B,5 to 10,7,0 to 10
84112,7B,5 to 10,7,0 to 10
84113,6B,-5 to 0,6,-10 to 0
84114,7B,5 to 10,7,0 to 10
84115,7B,5 to 10,7,0 to 10
84116,7B,5 to 10,7,0 to 10
84117,7A,0 to 5,7,0 to 10
84118,7A,0 to 5,7,0 to 10
84119,7B,5 to 10,7,0 to 10
84120,7A,0 to 5,7,0 to 10
84121,7A,0 to 5,7,0 to 10
84122,7B,5 to 10,7,0 to 10
84123,7A,0 to 5,7,0 to 10
84124,7A,0 to 5,7,0 to 10
84125,7B,5 to 10,7,0 to 10
84126,7B,5 to 10,7,0 to 10
84127,7B,5 to 10,7,0 to 10
84128,7A,0 to 5,7,0 to 10
84129,7B,5 to 10,7,0 to 10
84130,7B,5 to 10,7,0 to 10
84131,7B,5 to 10,7,0 to 10
84132,7B,5 to 10,7,0 to 10
84133,7B,5 to 10,7,0 to 10
84134,7B,5 to 10,7,0 to 10
84136,7B,5 to 10,7,0 to 10
84138,7B,5 to 10,7,0 to 10
84139,7B,5 to 10,7,0 to 10
84141,7A,0 to 5,7,0 to 10
84143,7B,5 to 10,7,0 to 10
84145,7B,5 to 10,7,0 to 10
84147,7B,5 to 10,7,0 to 10
84148,7A,0 to 5,7,0 to 10
84150,7B,5 to 10,7,0 to 10
84151,7B,5 to 10,7,0 to 10
84152,7B,5 to 10,7,0 to 10
84157,7A,0 to 5,7,0 to 10
84158,7A,0 to 5,7,0 to 10
84165,7B,5 to 10,7,0 to 10
84170,7B,5 to 10,7,0 to 10
84171,7A,0 to 5,7,0 to 10
84180,7B,5 to 10,7,0 to 10
84184,7A,0 to 5,7,0 to 10
84189,7B,5 to 10,7,0 to 10
84190,7B,5 to 10,7,0 to 10
84199,7B,5 to 10,7,0 to 10
84201,7A,0 to 5,7,0 to 10
84244,6B,-5 to 0,6,-10 to 0
84301,6B,-5 to 0,6,-10 to 0
84302,6A,-10 to -5,6,-10 to 0
84304,6A,-10 to -5,6,-10 to 0
84305,6A,-10 to -5,6,-10 to 0
84306,6A,-10 to -5,6,-10 to 0
84307,6B,-5 to 0,6,-10 to 0
84308,5B,-15 to -10,5,-20 to -10
84309,6A,-10 to -5,6,-10 to 0
84310,5B,-15 to -10,5,-20 to -10
84311,6A,-10 to -5,6,-10 to 0
84312,6A,-10 to -5,6,-10 to 0
84313,6A,-10 to -5,6,-10 to 0
84314,6B,-5 to 0,6,-10 to 0
84315,7A,0 to 5,7,0 to 10
84316,5B,-15 to -10,5,-20 to -10
84317,5B,-15 to -10,5,-20 to -10
84318,6A,-10 to -5,6,-10 to 0
84319,5B,-15 to -10,5,-20 to -10
84320,5B,-15 to -10,5,-20 to -10
84321,5B,-15 to -10,5,-20 to -10
84322,6A,-10 to -5,6,-10 to 0
84323,5B,-15 to -10,5,-20 to -10
84324,6A,-10 to -5,6,-10 to 0
84325,5B,-15 to -10,5,-20 to -10
84326,5B,-15 to -10,5,-20 to -10
84327,6A,-10 to -5,6,-10 to 0
84328,5B,-15 to -10,5,-20 to -10
84329,6B,-5 to 0,6,-10 to 0
84330,6A,-10 to -5,6,-10 to 0
84331,6A,-10 to -5,6,-10 to 0
84332,5B,-15 to -10,5,-20 to -10
84333,5B,-15 to -10,5,-20 to -10
84334,6A,-10 to -5,6,-10 to 0
84335,5B,-15 to -10,5,-20 to -10
84336,6A,-10 to -5,6,-10 to 0
84337,6A,-10 to -5,6,-10 to 0
84338,5B,-15 to -10,5,-20 to -10
84339,5B,-15 to -10,5,-20 to -10
84340,6B,-5 to 0,6,-10 to 0
84341,6A,-10 to -5,6,-10 to 0
84401,7A,0 to 5,7,0 to 10
84402,6B,-5 to 0,6,-10 to 0
84403,6B,-5 to 0,6,-10 to 0
84404,6B,-5 to 0,6,-10 to 0
84405,6B,-5 to 0,6,-10 to 0
84407,7A,0 to 5,7,0 to 10
84408,6B,-5 to 0,6,-10 to 0
84409,6B,-5 to 0,6,-10 to 0
84412,6B,-5 to 0,6,-10 to 0
84414,6B,-5 to 0,6,-10 to 0
84415,6B,-5 to 0,6,-10 to 0
84501,6B,-5 to 0,6,-10 to 0
84510,7B,5 to 10,7,0 to 10
84511,7A,0 to 5,7,0 to 10
84512,7A,0 to 5,7,0 to 10
84513,6A,-10 to -5,6,-10 to 0
84515,6B,-5 to 0,6,-10 to 0
84516,6A,-10 to -5,6,-10 to 0
84518,6A,-10 to -5,6,-10 to 0
84520,6B,-5 to 0,6,-10 to 0
84521,6A,-10 to -5,6,-10 to 0
84522,6A,-10 to -5,6,-10 to 0
84523,6B,-5 to 0,6,-10 to 0
84525,6B,-5 to 0,6,-10 to 0
84526,6A,-10 to -5,6,-10 to 0
84528,6A,-10 to -5,6,-10 to 0
84529,6B,-5 to 0,6,-10 to 0
84530,6A,-10 to -5,6,-10 to 0
84531,7B,5 to 10,7,0 to 10
84532,7A,0 to 5,7,0 to 10
84533,8A,10 to 15,8,10 to 20
84534,7A,0 to 5,7,0 to 10
84535,6A,-10 to -5,6,-10 to 0
84536,7B,5 to 10,7,0 to 10
84537,6A,-10 to -5,6,-10 to 0
84539,6B,-5 to 0,6,-10 to 0
84540,6B,-5 to 0,6,-10 to 0
84542,6B,-5 to 0,6,-10 to 0
84601,7A,0 to 5,7,0 to 10
84602,7A,0 to 5,7,0 to 10
84603,7A,0 to 5,7,0 to 10
84604,7A,0 to 5,7,0 to 10
84605,7A,0 to 5,7,0 to 10
84606,7A,0 to 5,7,0 to 10
84620,6A,-10 to -5,6,-10 to 0
84621,5B,-15 to -10,5,-20 to -10
84622,5B,-15 to -10,5,-20 to -10
84623,6A,-10 to -5,6,-10 to 0
84624,6A,-10 to -5,6,-10 to 0
84626,6A,-10 to -5,6,-10 to 0
84627,6A,-10 to -5,6,-10 to 0
84628,6B,-5 to 0,6,-10 to 0
84629,5B,-15 to -10,5,-20 to -10
84630,6A,-10 to -5,6,-10 to 0
84631,6B,-5 to 0,6,-10 to 0
84632,5B,-15 to -10,5,-20 to -10
84633,6B,-5 to 0,6,-10 to 0
84634,6A,-10 to -5,6,-10 to 0
84635,6A,-10 to -5,6,-10 to 0
84636,6A,-10 to -5,6,-10 to 0
84637,6B,-5 to 0,6,-10 to 0
84638,6A,-10 to -5,6,-10 to 0
84639,6A,-10 to -5,6,-10 to 0
84640,6A,-10 to -5,6,-10 to 0
84642,6A,-10 to -5,6,-10 to 0
84643,6A,-10 to -5,6,-10 to 0
84644,6B,-5 to 0,6,-10 to 0
84645,6A,-10 to -5,6,-10 to 0
84646,5B,-15 to -10,5,-20 to -10
84647,6A,-10 to -5,6,-10 to 0
84648,6A,-10 to -5,6,-10 to 0
84649,6B,-5 to 0,6,-10 to 0
84651,6B,-5 to 0,6,-10 to 0
84652,6A,-10 to -5,6,-10 to 0
84653,6B,-5 to 0,6,-10 to 0
84654,6A,-10 to -5,6,-10 to 0
84655,6B,-5 to 0,6,-10 to 0
84656,5B,-15 to -10,5,-20 to -10
84657,6A,-10 to -5,6,-10 to 0
84660,6B,-5 to 0,6,-10 to 0
84662,6A,-10 to -5,6,-10 to 0
84663,6B,-5 to 0,6,-10 to 0
84664,6B,-5 to 0,6,-10 to 0
84665,6A,-10 to -5,6,-10 to 0
84667,5B,-15 to -10,5,-20 to -10
84701,6A,-10 to -5,6,-10 to 0
84710,6A,-10 to -5,6,-10 to 0
84711,6A,-10 to -5,6,-10 to 0
84712,5B,-15 to -10,5,-20 to -10
84713,6A,-10 to -5,6,-10 to 0
84714,5B,-15 to -10,5,-20 to -10
84715,5B,-15 to -10,5,-20 to -10
84716,7A,0 to 5,7,0 to 10
84718,6B,-5 to 0,6,-10 to 0
84719,5B,-15 to -10,5,-20 to -10
84720,6B,-5 to 0,6,-10 to 0
84721,6B,-5 to 0,6,-10 to 0
84722,7B,5 to 10,7,0 to 10
84723,6A,-10 to -5,6,-10 to 0
84724,6A,-10 to -5,6,-10 to 0
84725,6A,-10 to -5,6,-10 to 0
84726,6B,-5 to 0,6,-10 to 0
84728,6A,-10 to -5,6,-10 to 0
84729,6B,-5 to 0,6,-10 to 0
84730,6A,-10 to -5,6,-10 to 0
84731,6A,-10 to -5,6,-10 to 0
84732,5B,-15 to -10,5,-20 to -10
84733,8A,10 to 15,8,10 to 20
84734,6A,-10 to -5,6,-10 to 0
84735,5B,-15 to -10,5,-20 to -10
84736,6B,-5 to 0,6,-10 to 0
84737,8A,10 to 15,8,10 to 20
84738,8A,10 to 15,8,10 to 20
84739,6A,-10 to -5,6,-10 to 0
84740,6A,-10 to -5,6,-10 to 0
84741,7A,0 to 5,7,0 to 10
84742,6B,-5 to 0,6,-10 to 0
84743,6A,-10 to -5,6,-10 to 0
84744,5B,-15 to -10,5,-20 to -10
84745,8A,10 to 15,8,10 to 20
84746,8A,10 to 15,8,10 to 20
84747,5B,-15 to -10,5,-20 to -10
84749,5B,-15 to -10,5,-20 to -10
84750,6A,-10 to -5,6,-10 to 0
84751,5B,-15 to -10,5,-20 to -10
84752,6A,-10 to -5,6,-10 to 0
84753,6A,-10 to -5,6,-10 to 0
84754,6A,-10 to -5,6,-10 to 0
84755,7A,0 to 5,7,0 to 10
84756,6A,-10 to -5,6,-10 to 0
84757,7A,0 to 5,7,0 to 10
84758,7A,0 to 5,7,0 to 10
84759,5B,-15 to -10,5,-20 to -10
84760,6A,-10 to -5,6,-10 to 0
84761,6A,-10 to -5,6,-10 to 0
84762,5B,-15 to -10,5,-20 to -10
84763,8A,10 to 15,8,10 to 20
84764,5B,-15 to -10,5,-20 to -10
84765,8A,10 to 15,8,10 to 20
84766,6A,-10 to -5,6,-10 to 0
84767,7B,5 to 10,7,0 to 10
84770,8B,15 to 20,8,10 to 20
84771,8A,10 to 15,8,10 to 20
84772,6B,-5 to 0,6,-10 to 0
84773,6A,-10 to -5,6,-10 to 0
84774,8A,10 to 15,8,10 to 20
84775,6B,-5 to 0,6,-10 to 0
84776,6B,-5 to 0,6,-10 to 0
84779,8A,10 to 15,8,10 to 20
84780,8A,10 to 15,8,10 to 20
84781,7A,0 to 5,7,0 to 10
84782,8A,10 to 15,8,10 to 20
84783,8A,10 to 15,8,10 to 20
84784,7A,0 to 5,7,0 to 10
84790,8A,10 to 15,8,10 to 20
84791,8B,15 to 20,8,10 to 20
85001,9B,25 to 30,9,20 to 30
85002,9B,25 to 30,9,20 to 30
85003,9B,25 to 30,9,20 to 30
85004,9B,25 to 30,9,20 to 30
85005,9B,25 to 30,9,20 to 30
85006,9B,25 to 30,9,20 to 30
85007,9B,25 to 30,9,20 to 30
85008,9B,25 to 30,9,20 to 30
85009,9B,25 to 30,9,20 to 30
85010,9B,25 to 30,9,20 to 30
85011,9B,25 to 30,9,20 to 30
85012,9B,25 to 30,9,20 to 30
85013,9B,25 to 30,9,20 to 30
85014,9B,25 to 30,9,20 to 30
85015,9B,25 to 30,9,20 to 30
85016,9B,25 to 30,9,20 to 30
85017,9B,25 to 30,9,20 to 30
85018,9B,25 to 30,9,20 to 30
85019,9B,25 to 30,9,20 to 30
85020,9B,25 to 30,9,20 to 30
85021,9B,25 to 30,9,20 to 30
85022,9B,25 to 30,9,20 to 30
85023,9B,25 to 30,9,20 to 30
85024,9B,25 to 30,9,20 to 30
85025,9B,25 to 30,9,20 to 30
85026,9B,25 to 30,9,20 to 30
85027,9B,25 to 30,9,20 to 30
85028,9B,25 to 30,9,20 to 30
85029,9B,25 to 30,9,20 to 30
85030,9B,25 to 30,9,20 to 30
85031,9B,25 to 30,9,20 to 30
85032,9B,25 to 30,9,20 to 30
85033,9B,25 to 30,9,20 to 30
85034,9B,25 to 30,9,20 to 30
85035,9B,25 to 30,9,20 to 30
85036,9B,25 to 30,9,20 to 30
85037,9B,25 to 30,9,20 to 30
85038,9B,25 to 30,9,20 to 30
85039,9B,25 to 30,9,20 to 30
85040,9B,25 to 30,9,20 to 30
85041,9B,25 to 30,9,20 to 30
85042,9B,25 to 30,9,20 to 30
85043,9B,25 to 30,9,20 to 30
85044,9B,25 to 30,9,20 to 30
85045,9B,25 to 30,9,20 to 30
85046,9B,25 to 30,9,20 to 30
85048,9B,25 to 30,9,20 to 30
85050,9B,25 to 30,9,20 to 30
85051,9B,25 to 30,9,20 to 30
85053,9B,25 to 30,9,20 to 30
85054,9B,25 to 30,9,20 to 30
85060,9B,25 to 30,9,20 to 30
85061,9B,25 to 30,9,20 to 30
85062,9B,25 to 30,9,20 to 30
85063,9B,25 to 30,9,20 to 30
85064,9B,25 to 30,9,20 to 30
85065,9B,25 to 30,9,20 to 30
85066,9B,25 to 30,9,20 to 30
85067,9B,25 to 30,9,20 to 30
85068,9B,25 to 30,9,20 to 30
85069,9B,25 to 30,9,20 to 30
85070,9B,25 to 30,9,20 to 30
85071,9B,25 to 30,9,20 to 30
85072,9B,25 to 30,9,20 to 30
85073,9B,25 to 30,9,20 to 30
85074,9B,25 to 30,9,20 to 30
85075,9B,25 to 30,9,20 to 30
85076,9B,25 to 30,9,20 to 30
85078,9B,25 to 30,9,20 to 30
85079,9B,25 to 30,9,20 to 30
85080,9B,25 to 30,9,20 to 30
85082,9B,25 to 30,9,20 to 30
85083,9B,25 to 30,9,20 to 30
85085,9B,25 to 30,9,20 to 30
85086,9B,25 to 30,9,20 to 30
85087,9B,25 to 30,9,20 to 30
85098,9B,25 to 30,9,20 to 30
85117,9B,25 to 30,9,20 to 30
85118,9B,25 to 30,9,20 to 30
85119,9B,25 to 30,9,20 to 30
85120,9B,25 to 30,9,20 to 30
85121,9A,20 to 25,9,20 to 30
85122,9A,20 to 25,9,20 to 30
85123,9A,20 to 25,9,20 to 30
85127,9B,25 to 30,9,20 to 30
85128,9A,20 to 25,9,20 to 30
85130,9A,20 to 25,9,20 to 30
85131,9A,20 to 25,9,20 to 30
85132,9B,25 to 30,9,20 to 30
85135,9A,20 to 25,9,20 to 30
85137,9B,25 to 30,9,20 to 30
85138,9A,20 to 25,9,20 to 30
85139,9A,20 to 25,9,20 to 30
85140,9B,25 to 30,9,20 to 30
85141,9A,20 to 25,9,20 to 30
85142,9B,25 to 30,9,20 to 30
85143,9B,25 to 30,9,20 to 30
85145,9B,25 to 30,9,20 to 30
85147,9A,20 to 25,9,20 to 30
85172,9A,20 to 25,9,20 to 30
85173,9B,25 to 30,9,20 to 30
85178,9B,25 to 30,9,20 to 30
85190,9B,25 to 30,9,20 to 30
85191,9A,20 to 25,9,20 to 30
85192,9A,20 to 25,9,20 to 30
85193,9A,20 to 25,9,20 to 30
85194,9A,20 to 25,9,20 to 30
85201,9B,25 to 30,9,20 to 30
85202,9B,25 to 30,9,20 to 30
85203,9B,25 to 30,9,20 to 30
85204,9B,25 to 30,9,20 to 30
85205,9B,25 to 30,9,20 to 30
85206,9B,25 to 30,9,20 to 30
85207,9B,25 to 30,9,20 to 30
85208,9B,25 to 30,9,20 to 30
85209,9B,25 to 30,9,20 to 30
85210,9B,25 to 30,9,20 to 30
85211,9B,25 to 30,9,20 to 30
85212,9B,25 to 30,9,20 to 30
85213,9B,25 to 30,9,20 to 30
85214,9B,25 to 30,9,20 to 30
85215,9B,25 to 30,9,20 to 30
85216,9B,25 to 30,9,20 to 30
85224,9B,25 to 30,9,20 to 30
85225,9B,25 to 30,9,20 to 30
85226,9B,25 to 30,9,20 to 30
85233,9B,25 to 30,9,20 to 30
85234,9B,25 to 30,9,20 to 30
85236,9B,25 to 30,9,20 to 30
85244,9B,25 to 30,9,20 to 30
85246,9B,25 to 30,9,20 to 30
85248,9B,25 to 30,9,20 to 30
85249,9B,25 to 30,9,20 to 30
85250,9B,25 to 30,9,20 to 30
85251,9B,25 to 30,9,20 to 30
85252,9B,25 to 30,9,20 to 30
